title,description,identifier,First URL HTTP Status,Last URL HTTP Status,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasEmail,landingPage,updateFrequency,theme,distribution.0.downloadURL,First URL HTTP Status,Last URL HTTP Status,distribution.0.title,distribution.0.description,distribution.0.format,distribution.1.downloadURL,First URL HTTP Status,Last URL HTTP Status,distribution.0.size,distribution.1.title,distribution.1.description,distribution.1.format,distribution.1.size,distribution.2.downloadURL,First URL HTTP Status,Last URL HTTP Status,distribution.2.title,distribution.2.format,distribution.3.downloadURL,First URL HTTP Status,Last URL HTTP Status,distribution.3.title,distribution.3.format,distribution.4.downloadURL,distribution.4.title,distribution.4.format,distribution.5.downloadURL,distribution.5.title,distribution.5.format,distribution.6.downloadURL,distribution.6.title,distribution.6.format,distribution.7.downloadURL,distribution.7.title,distribution.7.format,distribution.8.downloadURL,distribution.8.title,distribution.8.format,distribution.9.downloadURL,distribution.9.title,distribution.9.format,distribution.10.downloadURL,distribution.10.title,distribution.10.format,distribution.11.downloadURL,distribution.11.title,distribution.11.format,distribution.12.downloadURL,distribution.12.title,distribution.12.format,distribution.13.downloadURL,distribution.13.title,distribution.13.format,distribution.14.downloadURL,distribution.14.title,distribution.14.format,distribution.15.downloadURL,distribution.15.title,distribution.15.format,distribution.16.downloadURL,distribution.16.title,distribution.16.format,distribution.17.downloadURL,distribution.17.title,distribution.17.format,distribution.18.downloadURL,distribution.18.title,distribution.18.format,distribution.19.downloadURL,distribution.19.title,distribution.19.format,distribution.20.downloadURL,distribution.20.title,distribution.20.format,distribution.21.downloadURL,distribution.21.title,distribution.21.format,distribution.22.downloadURL,distribution.22.title,distribution.22.format,distribution.23.downloadURL,distribution.23.title,distribution.23.format,distribution.24.downloadURL,distribution.24.title,distribution.24.format
Annual crash stats: Time Series of Historic Death and Serious Injury,Time series of historic death and serious injury data since 1990,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/time-series-of-historic-casualties-and-crashes/,200,200,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,20-12-2019,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/time-series-of-historic-casualties-and-crashes,Annual,transport,https://public.tableau.com/shared/WGFTHDX4Z?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Historical Data; Deaths, Injuries, Population..., by year",Annual crash stats,"TWB, PDF, CSV",https://public.tableau.com/shared/TBMKGC36J?:display_count=n&:origin=viz_share_link&:embed=y,302,404,,"Historical Data; Fatal and Injury Crashes, by year",Annual crash stats,"TWB, PDF, CSV",,https://public.tableau.com/shared/DH26PZTWQ?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Historical Graphs; Deaths, Injuries, Population..., by year","TWB, PDF, CSV",https://public.tableau.com/shared/44BSB6NMM?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Ratio of Deaths to Fatal Crashes, by year","TWB, PDF, CSV",https://public.tableau.com/shared/R62RWRJMW?:display_count=n&:origin=viz_share_link&:embed=y,"Deaths per vehicle and per capita, by year","TWB, PDF, CSV",https://public.tableau.com/shared/TNW76SQRT?:display_count=n&:origin=viz_share_link&:embed=y,"Injuries per vehicle and per capita, by year","TWB, PDF, CSV",https://public.tableau.com/shared/FTH5Q5RXY?:display_count=n&:origin=viz_share_link&:embed=y,"Fatal crashes per vehicle and per capita, by year","TWB, PDF, CSV",https://public.tableau.com/shared/SXPSQBN58?:display_count=n&:origin=viz_share_link&:embed=y,"Injury crashes per vehicle and per capita, by year","TWB, PDF, CSV",https://public.tableau.com/shared/4CX2XJ2ZS?:display_count=n&:origin=viz_share_link&:embed=y,"Deaths to injuries, by year","TWB, PDF, CSV",https://public.tableau.com/shared/QC5QPYW5K?:display_count=n&:origin=viz_share_link&:embed=y,"Fatal crashes to injury crashes, by year","TWB, PDF, CSV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual crash stats: Time Series of Historic Ratios,Time Series of Historic Ratios since 1990,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/time-series-of-historic-ratios,200,200,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,20-12-2019,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/time-series-of-historic-ratios,Annual,transport,https://public.tableau.com/shared/HCKKYX3ZT?:display_count=n&:origin=viz_share_link&:embed=y,302,404,Casualty and Crash Data,Annual crash stats,"TWB, PDF, CSV",https://public.tableau.com/shared/HZ6R6SY6D?:display_count=n&:origin=viz_share_link&:embed=y,302,404,,"Ratios of Deaths to Fatal Crashes, by year and with respect to vehicle numbers",Annual crash stats,"TWB, PDF, CSV",,,URL not present,URL not present,,,,URL not present,URL not present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual crash stats: Time Series of Casualty and Crash Categories,Time Series of Casualty and Crash Categories since 1990,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/time-series-of-casualty-and-crash-categories,200,200,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,20-12-2019,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/time-series-of-casualty-and-crash-categories,Annual,transport,https://public.tableau.com/shared/JMRPXGFRM?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Casualty and Crash Data, by year",Annual crash stats,"TWB, PDF, CSV",https://public.tableau.com/shared/2SFDDMQN4?:display_count=n&:origin=viz_share_link&:embed=y,302,404,,"Number of Deaths vs Number of Serious Injuries vs Number of Minor Injuries, by year",Annual crash stats,"TWB, PDF, CSV",,https://public.tableau.com/shared/Z95QX9J4R?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Fatal Crashes vs Serious Injury Crashes vs Minor Injury Crashes, by year","TWB, PDF, CSV",,URL not present,URL not present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual crash stats: Date Time of Casualties and Crashes,Date and time of Casualties and Crashes since 1990,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/date-time-of-casualties-and-crashes,200,200,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,20-12-2019,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/date-time-of-casualties-and-crashes,Annual,transport,https://public.tableau.com/shared/QFZK6HWKM?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Casualties, by year",Annual crash stats,"TWB, PDF, CSV",https://public.tableau.com/shared/DMCKZDNWB?:display_count=n&:origin=viz_share_link&:embed=y,302,404,,"Crashes, by year",Annual crash stats,"TWB, PDF, CSV",,https://public.tableau.com/shared/C5P4897M9?:display_count=n&:origin=viz_share_link&:embed=y,302,404,Month at a glance,"TWB, PDF, CSV",https://public.tableau.com/shared/FPMCQJNJN?:display_count=n&:origin=viz_share_link&:embed=y,302,404,Week at a glance,"TWB, PDF, CSV",https://public.tableau.com/shared/CQ3KQ7G5C?:display_count=n&:origin=viz_share_link&:embed=y,Day of Month at a glance,"TWB, PDF, CSV",https://public.tableau.com/shared/5DSGDS2R7?:display_count=n&:origin=viz_share_link&:embed=y,Weekdays through the years,"TWB, PDF, CSV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual crash stats: Date Time and Holidays of Casualties,"Deaths, serious and minor injuries on our roads, day/time of week and when holiday periods occur since 1990",https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/date-time-and-holidays-of-casualties,200,200,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,20-12-2019,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/date-time-and-holidays-of-casualties,Annual,transport,https://public.tableau.com/shared/9GGGHY5ZR?:display_count=n&:origin=viz_share_link&:embed=y,302,404,Deaths and Injuries on Our Roads,Annual crash stats,"TWB, PDF, CSV",https://public.tableau.com/shared/KSZQHB2N9?:display_count=n&:origin=viz_share_link&:embed=y,302,404,,Casualties During Holiday Periods,Annual crash stats,"TWB, PDF, CSV",,https://public.tableau.com/shared/NJCK3KH76?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Casualties by Hour of Day and Day of Week, by year","TWB, PDF, CSV",https://public.tableau.com/shared/88PFJQXP6?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Pattern of Road Incidents with Casualties by Day of Week / Time of Day, by year","TWB, PDF, CSV",https://public.tableau.com/shared/85H5T5P9D?:display_count=n&:origin=viz_share_link&:embed=y,"Cumulative Pattern of Road Incidents with Casualties by Day of Week / Time of Day, by year","TWB, PDF, CSV",https://public.tableau.com/shared/SM8QJQ7RS?:display_count=n&:origin=viz_share_link&:embed=y,"Heatmap of Road Incidents with Casualties by day of week / time of day, by year","TWB, PDF, CSV",https://public.tableau.com/shared/NHRT5X8NP?:display_count=n&:origin=viz_share_link&:embed=y,"Historical Pattern of Casualties on our Roads by Hour of Day, by year ","TWB, PDF, CSV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual crash stats: State Highway Crashes,"Crash types (fatal, injury) by road classification (state highways/local roads) since 1990",https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/state-highway-crashes,200,200,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,20-12-2019,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/state-highway-crashes,Annual,transport,https://public.tableau.com/shared/J2634ZCF6?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Crash Types by Road Classification, by year",Annual crash stats,"TWB, PDF, CSV",https://public.tableau.com/shared/J2634ZCF6?:display_count=n&:origin=viz_share_link&:embed=y,302,404,,Trends of Crash Types by Road Classification over the years,Annual crash stats,"TWB, PDF, CSV",,https://public.tableau.com/shared/MTQ62R8Z2?:display_count=n&:origin=viz_share_link&:embed=y,302,404,Historical Patterns of Crash Types on Our Roads,"TWB, PDF, CSV",,URL not present,URL not present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual crash stats: State Highway Casualties,"Casualty types (deaths, injuries) by road classification (state highways/local roads) since 1990",https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/state-highway-casualties,200,200,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,20-12-2019,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/state-highway-casualties,Annual,transport,https://public.tableau.com/shared/CRWS7K357?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Casualty Types by Road Classification, by year",Annual crash stats,"TWB, PDF, CSV",https://public.tableau.com/shared/8TWT8B5FK?:display_count=n&:origin=viz_share_link&:embed=y,302,404,,Trends of Casualty Types by Road Classification over the years,Annual crash stats,"TWB, PDF, CSV",,https://public.tableau.com/shared/DWJW7PWM3?:display_count=n&:origin=viz_share_link&:embed=y,302,404,Historical Patterns of Casualty Types on Our Roads,"TWB, PDF, CSV",,URL not present,URL not present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual crash stats: Road User Casualties (Part 1),"Road User Casualties (location, vehicle type, age group) since 1990 (Part 1) ",https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/road-user-casualties-part-1,200,200,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,20-12-2019,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/road-user-casualties-part-1,Annual,transport,https://public.tableau.com/shared/ZJYHTK2SB?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Historic Casualties by Region, by year",Annual crash stats,"TWB, PDF, CSV",https://public.tableau.com/shared/7BDTJ2CXK?:display_count=n&:origin=viz_share_link&:embed=y,302,404,,"Historic Casualties by Local Authorities, by year",Annual crash stats,"TWB, PDF, CSV",,https://public.tableau.com/shared/952STJ2DG?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Historic Table of Casualties by Age Group, by year","TWB, PDF, CSV",https://public.tableau.com/shared/C9FGYNF3J?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Historic Casualties by Mode of Transport, by year","TWB, PDF, CSV",https://public.tableau.com/shared/P8WHBNYY9?:display_count=n&:origin=viz_share_link&:embed=y,"Historic Casualties by International Vehicle Group, by year","TWB, PDF, CSV",https://public.tableau.com/shared/HTQDQW5S7?:display_count=n&:origin=viz_share_link&:embed=y,"Historic Graph of Casualties by Age Group, by year","TWB, PDF, CSV",https://public.tableau.com/shared/96FWM55MY?:display_count=n&:origin=viz_share_link&:embed=y,"Casualties by Region, by year","TWB, PDF, CSV",https://public.tableau.com/shared/H7SKXWX66?:display_count=n&:origin=viz_share_link&:embed=y,"Casualties by International Vehicle Group, by year","TWB, PDF, CSV",https://public.tableau.com/shared/X5M3ZMWYK?:display_count=n&:origin=viz_share_link&:embed=y,"Age and Sex of Road Users Killed and Injured, by year","TWB, PDF, CSV",https://public.tableau.com/shared/THHBRWCY3?:display_count=n&:origin=viz_share_link&:embed=y,"Age and Types of Road Users Killed and Injured, by year","TWB, PDF, CSV",https://public.tableau.com/shared/YDTJ2RS5X?:display_count=n&:origin=viz_share_link&:embed=y,"Count of Casualties, by year","TWB, PDF, CSV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual crash stats: Road User Casualties (Part 2),"Road User Casualties (location, vehicle type, age group, gender, timing) since 1990 (Part 2) ",https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/road-user-casualties-part-2,200,200,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries",,20-12-2019,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/annual-crash-statistics/road-user-casualties-part-2,Annual,transport,https://public.tableau.com/shared/PSQG73D5Y?:display_count=n&:origin=viz_share_link&:embed=y,302,404,Historic Casualties by Region,Annual crash stats,"TWB, PDF, CSV",https://public.tableau.com/shared/BR584NH6H?:display_count=n&:origin=viz_share_link&:embed=y,302,404,,Proportion of Deaths by Road User Type,Annual crash stats,"TWB, PDF, CSV",,https://public.tableau.com/shared/FYFBQKPMF?:display_count=n&:origin=viz_share_link&:embed=y,302,404,Proportion of Injuries by Road User Type,"TWB, PDF, CSV",https://public.tableau.com/shared/45WR73FQ6?:display_count=n&:origin=viz_share_link&:embed=y,302,404,"Percentage of Road Deaths by Age and Sex, by region, by year","TWB, PDF, CSV",https://public.tableau.com/shared/X8NSM45YR?:display_count=n&:origin=viz_share_link&:embed=y,"Percentage of Road Injuries by Age and Sex, by region, by year","TWB, PDF, CSV",https://public.tableau.com/shared/844K4P97R?:display_count=n&:origin=viz_share_link&:embed=y,Percentage of All Road Deaths by Age and Type of Road User,"TWB, PDF, CSV",https://public.tableau.com/shared/NBYS6XSFT?:display_count=n&:origin=viz_share_link&:embed=y,Percentage of All Road Injuries by Age and Type of Road User,"TWB, PDF, CSV",https://public.tableau.com/shared/HM45N73W9?:display_count=n&:origin=viz_share_link&:embed=y,"Type of Road User Killed and Injured, by year","TWB, PDF, CSV",https://public.tableau.com/shared/R9J2X258Z?:display_count=n&:origin=viz_share_link&:embed=y,"Heatmap of Casualties in Regions, by time of day, by year","TWB, PDF, CSV",https://public.tableau.com/shared/THFX8BG3N?:display_count=n&:origin=viz_share_link&:embed=y,"Type of Road User Killed and Injured by Sex, by region, by year","TWB, PDF, CSV",https://public.tableau.com/shared/FGDXCGW2X?:display_count=n&:origin=viz_share_link&:embed=y,"Count (%) of Deaths and Serious Injuries by Road User Type, by region, by year","TWB, PDF, CSV",https://public.tableau.com/shared/WQSW94CH4?:display_count=n&:origin=viz_share_link&:embed=y,"Count of Casualties by Road User Type, by region, by year","TWB, PDF, CSV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual crash stats: Speeding crashes,Overview of crashes where speed is a contributing factor  for the latest available year,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/speeding,200,200,https://creativecommons.org/licenses/by/4.0,"safety, accidents, deaths, injuries, speed",,20-12-2019,Ministry of Transport,MoTAnalytics@transport.govt.nz,Ministry of Transport,MoTAnalytics@transport.govt.nz,https://www.transport.govt.nz/mot-resources/new-road-safety-resources/speeding,Annual,transport,https://public.tableau.com/views/Speedheadlines/Speedheadlines?:embed=y&:display_count=n&:origin=viz_share_link,302,200,Deaths involving speed since 1990,Annual crash stats,"TWB, PDF",,URL not present,URL not present,,,Annual crash stats,,,,URL not present,URL not present,,,,URL not present,URL not present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
